date,TRADE_WAR,FED_POLICY,FEAR_CRISIS,EARNINGS,EUPHORIA_MOMENTUM,GEOPOLITICAL,SECTOR_TRIGGER,ENERGY_COMMODITY,LABOR_CONSUMER,TRUMP_POLICY,CRYPTO_FINTECH,AMPLIFIER_MOD,bert_sentiment,finbert_sentiment,sp500_close,sp500_return,direction,oil_close,vix_close,target
2018-05-16,3,6,4,8,6,3,9,10,3,11,5,2,-0.1574317405098363,0.006745675099683863,2722.4599609375,0.004060561678767671,Up,71.48999786376953,13.420000076293945,1
2018-05-17,2,5,4,6,12,7,12,13,3,12,4,5,-0.1275706518264044,-0.050414227712012476,2720.1298828125,-0.0008558723207806596,Down,71.48999786376953,13.430000305175781,0
2018-05-18,1,5,5,2,6,8,7,5,3,5,3,4,-0.1476045637854731,-0.07632692778697579,2712.969970703125,-0.00263219493841671,Down,71.27999877929688,13.420000076293945,0
2018-05-21,2,4,0,8,11,12,6,13,1,10,4,5,-0.13567656555841134,-0.07755998597307087,2733.010009765625,0.007386752997235124,Up,72.23999786376953,13.079999923706055,1
2018-05-22,7,5,0,6,8,9,8,8,4,13,6,5,-0.27764352453940827,-0.07231112237512598,2724.43994140625,-0.0031357617896576873,Down,72.12999725341797,13.220000267028809,0
2018-05-23,0,8,2,7,14,6,9,7,1,12,2,9,-0.16323701454245526,-0.07382859329913477,2733.2900390625,0.0032484098921563564,Up,71.83999633789062,12.579999923706055,1
2018-05-24,4,16,3,9,4,8,8,11,4,18,2,5,-0.14234304045318463,-0.03054733580371382,2727.760009765625,-0.002023213496498033,Down,70.70999908447266,12.529999732971191,0
2018-05-25,3,5,2,3,8,5,7,8,4,10,2,1,-0.15511752156650319,-0.09805831253419027,2721.330078125,-0.0023572204364039617,Down,67.87999725341797,13.220000267028809,0
2018-05-29,4,6,4,4,9,5,8,8,4,5,6,8,-0.2189004463808877,-0.11060313045579408,2689.860107421875,-0.011564187290653005,Down,66.7300033569336,17.020000457763672,0
2018-05-30,4,4,6,12,6,6,8,9,6,6,1,4,-0.2751189587694226,-0.13099184053752458,2724.010009765625,0.012695791223314323,Up,68.20999908447266,14.9399995803833,1
2018-05-31,2,7,3,10,9,6,5,5,7,8,0,4,-0.09934021017261754,-0.06868597088712398,2705.27001953125,-0.006879559974886984,Down,67.04000091552734,15.430000305175781,0
2018-06-01,1,2,3,4,6,4,7,8,13,13,2,1,-0.04082453216629467,-0.03531583177792872,2734.6201171875,0.010849230370481022,Up,65.80999755859375,13.460000038146973,1
2018-06-04,2,2,1,10,9,9,6,6,3,7,2,6,-0.16135923159604817,-0.0706216743662738,2746.8701171875,0.004479598435997323,Up,64.75,12.739999771118164,1
2018-06-05,1,8,0,3,11,7,5,7,4,11,1,7,-0.1798769990603129,-0.029590918524907184,2748.800048828125,0.0007025929724704394,Up,65.5199966430664,12.399999618530273,1
2018-06-06,4,7,1,6,13,4,10,7,4,16,4,9,-0.03328771548827893,-0.055558639221593056,2772.35009765625,0.008567392465728796,Up,64.7300033569336,11.640000343322754,1
2018-06-07,0,7,1,5,10,12,11,9,4,12,1,6,-0.1410958641740285,-0.010212381931710732,2770.3701171875,-0.0007141884679080501,Down,65.94999694824219,12.130000114440918,0
2018-06-08,1,0,1,4,9,9,3,6,1,9,1,4,-0.187165951657438,-0.08103074242701074,2779.030029296875,0.0031259043893263616,Up,65.73999786376953,12.180000305175781,1
2018-06-11,0,5,2,3,6,6,12,5,3,9,6,6,-0.1396184188877037,-0.04379396243188195,2782.0,0.001068707668436586,Up,66.0999984741211,12.350000381469727,1
2018-06-12,2,8,1,7,10,7,12,9,2,20,4,7,-0.11065789101258763,0.011496262558964345,2786.85009765625,0.0017433852107295866,Up,66.36000061035156,12.34000015258789,1
2018-06-13,1,9,1,6,11,10,12,7,3,9,0,4,-0.14044630874401678,-0.03796309420700978,2775.6298828125,-0.004026127868587581,Down,66.63999938964844,12.9399995803833,0
2018-06-14,1,16,1,5,4,3,8,6,5,9,1,4,-0.17095817610768987,-0.08891404016256922,2782.489990234375,0.002471549778432225,Up,66.88999938964844,12.119999885559082,1
2018-06-15,6,8,1,1,8,8,6,8,2,12,5,5,-0.03202607201748207,-0.07092332275574162,2779.659912109375,-0.001017102715529128,Down,65.05999755859375,11.979999542236328,0
2018-06-18,3,2,3,6,3,4,10,7,3,11,1,1,-0.18041705749928952,-0.04825904333847575,2773.75,-0.0021261277624751163,Down,65.8499984741211,12.3100004196167,0
2018-06-19,6,4,2,7,10,9,6,10,4,14,5,12,-0.12640129478737777,-0.03877466424535065,2762.590087890625,-0.004023402292699374,Down,65.06999969482422,13.350000381469727,0
2018-06-20,4,10,0,5,4,7,12,6,2,15,1,3,-0.158089431342233,-0.06808234156416774,2767.320068359375,0.0017121542893689945,Up,66.22000122070312,12.789999961853027,1
2018-06-21,5,1,0,8,10,10,5,7,1,12,4,5,-0.18558650414148967,-0.02657652668921011,2749.760009765625,-0.006345510515579966,Down,65.54000091552734,14.640000343322754,0
2018-06-22,3,5,2,2,5,3,7,9,0,17,5,4,-0.1032041732857867,-0.06733068504382106,2754.8798828125,0.0018619345065358228,Up,68.58000183105469,13.770000457763672,1
2018-06-25,4,3,4,2,7,6,13,7,4,8,3,7,-0.19569847619894779,-0.09557522656678251,2717.070068359375,-0.013724668973416176,Down,68.08000183105469,17.329999923706055,0
2018-06-26,11,4,1,6,13,10,4,9,5,18,4,6,-0.16436914250414858,-0.060566934786977306,2723.06005859375,0.0022045770199778936,Up,70.52999877929688,15.920000076293945,1
2018-06-27,3,7,2,5,7,7,6,3,3,17,4,6,-0.13445700324596244,-0.08061924559173193,2699.6298828125,-0.008604355128821406,Down,72.76000213623047,17.90999984741211,0
